iteration,temps_fourmis_ms,temps_evap_ms,temps_update_ms,food_quantity
1,0.819000,0.193000,0.002000,0
2,0.465000,0.141000,0.002000,0
3,0.431000,0.152000,0.001000,0
4,0.431000,0.145000,0.001000,0
5,0.442000,0.156000,0.001000,0
6,0.444000,0.149000,0.001000,0
7,0.465000,0.137000,0.001000,0
8,0.472000,0.140000,0.000000,0
9,0.439000,0.163000,0.001000,0
10,0.417000,0.173000,0.001000,0
11,0.478000,0.145000,0.000000,0
12,0.462000,0.176000,0.001000,0
13,0.443000,0.181000,0.001000,0
14,0.482000,0.154000,0.001000,0
15,0.498000,0.199000,0.002000,0
16,0.482000,0.158000,0.002000,0
17,0.517000,0.186000,0.001000,0
18,0.557000,0.181000,0.001000,0
19,0.651000,0.227000,0.002000,0
20,0.654000,0.263000,0.020000,0
21,0.686000,0.154000,0.002000,0
22,0.482000,0.110000,0.002000,0
23,0.459000,0.119000,0.002000,0
24,0.442000,0.136000,0.001000,0
25,0.458000,0.114000,0.001000,0
26,0.474000,0.125000,0.001000,0
27,0.457000,0.139000,0.001000,0
28,0.477000,0.127000,0.001000,0
29,0.461000,0.111000,0.002000,0
30,0.433000,0.116000,0.000000,0
31,0.441000,0.119000,0.001000,0
32,0.461000,0.121000,0.001000,0
33,0.451000,0.116000,0.001000,0
34,0.473000,0.119000,0.001000,0
35,0.462000,0.129000,0.001000,0
36,0.485000,0.116000,0.002000,0
37,0.466000,0.107000,0.001000,0
38,0.479000,0.115000,0.001000,0
39,0.452000,0.120000,0.002000,0
40,0.492000,0.127000,0.002000,0
41,0.442000,0.148000,0.001000,0
42,0.464000,0.133000,0.001000,0
43,0.485000,0.116000,0.001000,0
44,0.479000,0.121000,0.001000,0
45,0.458000,0.121000,0.001000,0
46,0.438000,0.144000,0.002000,0
47,0.470000,0.135000,0.001000,0
48,0.461000,0.130000,0.002000,0
49,0.465000,0.113000,0.001000,0
50,0.419000,0.111000,0.000000,0
51,0.446000,0.118000,0.001000,0
52,0.462000,0.123000,0.001000,0
53,0.459000,0.124000,0.002000,0
54,0.475000,0.155000,0.002000,0
55,0.447000,0.135000,0.001000,0
56,0.456000,0.130000,0.002000,0
57,0.470000,0.118000,0.002000,0
58,0.476000,0.120000,0.001000,0
59,0.500000,0.133000,0.002000,0
60,0.456000,0.133000,0.001000,0
61,0.474000,0.136000,0.001000,0
62,0.494000,0.126000,0.002000,0
63,0.423000,0.110000,0.001000,0
64,0.474000,0.116000,0.001000,0
65,0.421000,0.120000,0.001000,0
66,0.490000,0.120000,0.002000,0
67,0.440000,0.119000,0.002000,0
68,0.416000,0.140000,0.002000,0
69,0.596000,0.142000,0.001000,0
70,0.619000,0.162000,0.002000,0
71,0.632000,0.171000,0.002000,0
72,0.551000,0.135000,0.001000,0
73,0.490000,0.143000,0.002000,0
74,0.473000,0.125000,0.001000,0
75,0.419000,0.132000,0.002000,0
76,0.485000,0.132000,0.002000,0
77,0.470000,0.121000,0.000000,0
78,0.475000,0.121000,0.002000,0
79,0.483000,0.138000,0.001000,0
80,0.467000,0.123000,0.001000,0
81,0.466000,0.098000,0.001000,0
82,0.489000,0.138000,0.002000,0
83,0.474000,0.125000,0.002000,0
84,0.460000,0.125000,0.002000,0
85,0.465000,0.129000,0.001000,0
86,0.463000,0.121000,0.001000,0
87,0.459000,0.113000,0.002000,0
88,0.451000,0.115000,0.001000,0
89,0.478000,0.125000,0.001000,0
90,0.464000,0.116000,0.002000,0
91,0.452000,0.121000,0.002000,0
92,0.423000,0.111000,0.001000,0
93,0.470000,0.124000,0.002000,0
94,0.466000,0.148000,0.001000,0
95,0.461000,0.140000,0.002000,0
96,0.444000,0.121000,0.001000,0
97,0.458000,0.127000,0.002000,0
98,0.460000,0.118000,0.002000,0
99,0.483000,0.123000,0.002000,0
100,0.444000,0.129000,0.002000,0
101,0.489000,0.133000,0.001000,0
102,0.441000,0.134000,0.002000,0
103,0.448000,0.117000,0.002000,0
104,0.418000,0.107000,0.002000,0
105,0.473000,0.117000,0.002000,0
106,0.426000,0.124000,0.002000,0
107,0.420000,0.140000,0.001000,0
108,0.470000,0.125000,0.002000,0
109,0.488000,0.140000,0.001000,0
110,0.486000,0.124000,0.002000,0
111,0.414000,0.134000,0.001000,0
112,0.469000,0.141000,0.001000,0
113,0.478000,0.111000,0.002000,0
114,0.483000,0.145000,0.002000,0
115,0.449000,0.118000,0.003000,0
116,0.439000,0.130000,0.001000,0
117,0.469000,0.111000,0.001000,0
118,0.467000,0.143000,0.001000,0
119,0.449000,0.116000,0.001000,0
120,0.489000,0.121000,0.001000,0
121,0.479000,0.128000,0.002000,0
122,0.441000,0.121000,0.001000,0
123,0.485000,0.123000,0.002000,0
124,0.460000,0.127000,0.001000,0
125,0.464000,0.114000,0.002000,0
126,0.432000,0.125000,0.002000,0
127,0.522000,0.134000,0.000000,0
128,0.472000,0.123000,0.002000,0
129,0.480000,0.120000,0.002000,0
130,0.463000,0.128000,0.001000,0
131,0.444000,0.116000,0.001000,0
132,0.487000,0.122000,0.001000,0
133,0.468000,0.113000,0.002000,0
134,0.469000,0.106000,0.001000,0
135,0.441000,0.134000,0.002000,0
136,0.492000,0.133000,0.002000,0
137,0.476000,0.121000,0.002000,0
138,0.472000,0.124000,0.002000,0
139,0.445000,0.125000,0.001000,0
140,0.445000,0.127000,0.002000,0
141,0.462000,0.113000,0.001000,0
142,0.469000,0.120000,0.001000,0
143,0.463000,0.113000,0.001000,0
144,0.475000,0.135000,0.002000,0
145,0.478000,0.119000,0.001000,0
146,0.471000,0.101000,0.002000,0
147,0.443000,0.122000,0.001000,0
148,0.400000,0.128000,0.001000,0
149,0.452000,0.119000,0.001000,0
150,0.475000,0.116000,0.001000,0
151,0.450000,0.127000,0.001000,0
152,0.472000,0.117000,0.001000,0
153,0.460000,0.128000,0.001000,0
154,0.464000,0.135000,0.002000,0
155,0.463000,0.116000,0.001000,0
156,0.448000,0.117000,0.001000,0
157,0.472000,0.158000,0.001000,0
158,0.455000,0.120000,0.001000,0
159,0.476000,0.119000,0.002000,0
160,0.426000,0.122000,0.002000,0
161,0.473000,0.119000,0.001000,0
162,0.455000,0.138000,0.002000,0
163,0.475000,0.116000,0.002000,0
164,0.467000,0.118000,0.001000,0
165,0.455000,0.118000,0.002000,0
166,0.471000,0.145000,0.002000,0
167,0.471000,0.133000,0.001000,0
168,0.483000,0.116000,0.002000,0
169,0.465000,0.120000,0.002000,0
170,0.480000,0.115000,0.002000,0
171,0.467000,0.110000,0.001000,0
172,0.448000,0.110000,0.001000,0
173,0.447000,0.138000,0.002000,0
174,0.446000,0.117000,0.001000,0
175,0.451000,0.127000,0.002000,0
176,0.459000,0.129000,0.001000,0
177,0.496000,0.138000,0.001000,0
178,0.441000,0.119000,0.001000,0
179,0.413000,0.133000,0.002000,0
180,0.472000,0.127000,0.001000,0
181,0.469000,0.117000,0.001000,0
182,0.451000,0.118000,0.002000,0
183,0.443000,0.102000,0.002000,0
184,0.449000,0.127000,0.002000,0
185,0.459000,0.135000,0.001000,0
186,0.489000,0.129000,0.001000,0
187,0.462000,0.125000,0.001000,0
188,0.454000,0.122000,0.002000,0
189,0.465000,0.127000,0.001000,0
190,0.443000,0.121000,0.002000,0
191,0.448000,0.153000,0.001000,0
192,0.465000,0.109000,0.001000,0
193,0.471000,0.137000,0.001000,0
194,0.490000,0.142000,0.001000,0
195,0.442000,0.107000,0.001000,0
196,0.491000,0.123000,0.001000,0
197,0.469000,0.109000,0.001000,0
198,0.452000,0.117000,0.001000,0
199,0.469000,0.127000,0.001000,0
200,0.444000,0.139000,0.001000,0
201,0.455000,0.115000,0.002000,0
202,0.473000,0.157000,0.002000,0
203,0.436000,0.122000,0.002000,0
204,0.489000,0.120000,0.001000,0
205,0.448000,0.133000,0.002000,0
206,0.464000,0.141000,0.001000,0
207,0.435000,0.119000,0.002000,0
208,0.479000,0.133000,0.002000,0
209,0.433000,0.116000,0.002000,0
210,0.454000,0.126000,0.002000,0
211,0.470000,0.133000,0.000000,0
212,0.428000,0.143000,0.001000,0
213,0.468000,0.137000,0.002000,0
214,0.473000,0.112000,0.001000,0
215,0.448000,0.108000,0.001000,0
216,0.447000,0.157000,0.002000,0
217,0.467000,0.133000,0.001000,0
218,0.458000,0.141000,0.001000,0
219,0.458000,0.119000,0.002000,0
220,0.463000,0.136000,0.001000,0
221,0.465000,0.109000,0.001000,0
222,0.465000,0.119000,0.001000,0
223,0.459000,0.113000,0.001000,0
224,0.442000,0.144000,0.001000,0
225,0.466000,0.127000,0.002000,0
226,0.466000,0.137000,0.002000,0
227,0.453000,0.134000,0.002000,0
228,0.485000,0.121000,0.001000,0
229,0.458000,0.121000,0.002000,0
230,0.437000,0.105000,0.002000,0
231,0.463000,0.143000,0.001000,0
232,0.492000,0.116000,0.002000,0
233,0.474000,0.122000,0.002000,0
234,0.446000,0.114000,0.002000,0
235,0.487000,0.116000,0.001000,0
236,0.457000,0.141000,0.001000,0
237,0.475000,0.127000,0.002000,0
238,0.472000,0.125000,0.001000,0
239,0.440000,0.133000,0.002000,0
240,0.457000,0.117000,0.001000,0
241,0.451000,0.143000,0.002000,0
242,0.457000,0.137000,0.001000,0
243,0.441000,0.123000,0.001000,0
244,0.463000,0.114000,0.001000,0
245,0.469000,0.120000,0.002000,0
246,0.444000,0.119000,0.001000,0
247,0.460000,0.136000,0.001000,0
248,0.450000,0.112000,0.002000,0
249,0.438000,0.121000,0.001000,0
250,0.463000,0.127000,0.002000,0
251,0.488000,0.110000,0.001000,0
252,0.429000,0.130000,0.002000,0
253,0.471000,0.119000,0.001000,0
254,0.476000,0.111000,0.001000,0
255,0.420000,0.112000,0.001000,0
256,0.451000,0.131000,0.002000,0
257,0.450000,0.126000,0.002000,0
258,0.472000,0.119000,0.002000,0
259,0.416000,0.120000,0.001000,0
260,0.469000,0.133000,0.001000,0
261,0.463000,0.116000,0.001000,0
262,0.464000,0.111000,0.001000,0
263,0.461000,0.127000,0.002000,0
264,0.456000,0.125000,0.001000,0
265,0.499000,0.136000,0.001000,0
266,0.467000,0.120000,0.001000,0
267,0.455000,0.120000,0.002000,0
268,0.474000,0.130000,0.001000,0
269,0.445000,0.124000,0.002000,0
270,0.459000,0.126000,0.002000,0
271,0.468000,0.143000,0.002000,0
272,0.433000,0.110000,0.001000,0
273,0.451000,0.138000,0.002000,0
274,0.470000,0.140000,0.002000,0
275,0.453000,0.134000,0.001000,0
276,0.460000,0.117000,0.002000,0
277,0.539000,0.132000,0.002000,0
278,0.492000,0.135000,0.002000,0
279,0.437000,0.125000,0.001000,0
280,0.454000,0.120000,0.002000,0
281,0.455000,0.125000,0.001000,0
282,0.495000,0.128000,0.001000,0
283,0.455000,0.122000,0.001000,0
284,0.443000,0.116000,0.001000,0
285,0.434000,0.113000,0.001000,0
286,0.492000,0.118000,0.002000,0
287,0.466000,0.116000,0.001000,0
288,0.472000,0.125000,0.001000,0
289,0.421000,0.130000,0.001000,0
290,0.465000,0.139000,0.002000,0
291,0.472000,0.135000,0.001000,0
292,0.424000,0.128000,0.002000,0
293,0.489000,0.148000,0.002000,0
294,0.502000,0.109000,0.001000,0
295,0.455000,0.131000,0.002000,0
296,0.460000,0.116000,0.001000,0
297,0.467000,0.110000,0.001000,0
298,0.449000,0.102000,0.001000,0
299,0.422000,0.126000,0.001000,0
300,0.454000,0.120000,0.001000,0
301,0.460000,0.106000,0.001000,0
302,0.469000,0.116000,0.002000,0
303,0.453000,0.107000,0.002000,0
304,0.456000,0.130000,0.002000,0
305,0.453000,0.117000,0.001000,0
306,0.466000,0.139000,0.001000,0
307,0.481000,0.140000,0.001000,0
308,0.444000,0.112000,0.002000,0
309,0.454000,0.117000,0.001000,0
310,0.481000,0.112000,0.002000,0
311,0.430000,0.116000,0.001000,0
312,0.461000,0.126000,0.002000,0
313,0.461000,0.112000,0.001000,0
314,0.459000,0.116000,0.003000,0
315,0.461000,0.127000,0.001000,0
316,0.450000,0.118000,0.000000,0
317,0.486000,0.126000,0.001000,0
318,0.450000,0.128000,0.001000,0
319,0.477000,0.122000,0.001000,0
320,0.470000,0.128000,0.002000,0
321,0.489000,0.137000,0.001000,0
322,0.454000,0.127000,0.001000,0
323,0.465000,0.114000,0.001000,0
324,0.447000,0.110000,0.002000,0
325,0.460000,0.117000,0.002000,0
326,0.458000,0.116000,0.002000,0
327,0.424000,0.115000,0.002000,0
328,0.476000,0.111000,0.001000,0
329,0.456000,0.127000,0.002000,0
330,0.457000,0.130000,0.002000,0
331,0.449000,0.111000,0.002000,0
332,0.476000,0.133000,0.001000,0
333,0.509000,0.120000,0.002000,0
334,0.447000,0.108000,0.002000,0
335,0.459000,0.113000,0.002000,0
336,0.469000,0.123000,0.001000,0
337,0.475000,0.110000,0.000000,0
338,0.448000,0.113000,0.001000,0
339,0.448000,0.119000,0.002000,0
340,0.467000,0.130000,0.002000,0
341,0.458000,0.132000,0.001000,0
342,0.429000,0.120000,0.002000,0
343,0.433000,0.120000,0.002000,0
344,0.473000,0.141000,0.001000,0
345,0.447000,0.120000,0.002000,0
346,0.477000,0.129000,0.002000,0
347,0.435000,0.129000,0.002000,0
348,0.450000,0.135000,0.002000,0
349,0.475000,0.123000,0.003000,0
350,0.451000,0.118000,0.002000,0
351,0.464000,0.112000,0.002000,0
352,0.451000,0.130000,0.001000,0
353,0.441000,0.114000,0.001000,0
354,0.454000,0.122000,0.002000,0
355,0.456000,0.123000,0.002000,0
356,0.447000,0.122000,0.002000,0
357,0.437000,0.129000,0.001000,0
358,0.448000,0.118000,0.001000,0
359,0.461000,0.119000,0.001000,0
360,0.419000,0.130000,0.002000,0
361,0.469000,0.127000,0.002000,0
362,0.459000,0.123000,0.001000,0
363,0.452000,0.136000,0.002000,0
364,0.497000,0.118000,0.001000,0
365,0.432000,0.119000,0.002000,0
366,0.442000,0.121000,0.002000,0
367,0.473000,0.118000,0.002000,0
368,0.418000,0.122000,0.002000,0
369,0.474000,0.116000,0.001000,0
370,0.467000,0.121000,0.001000,0
371,0.462000,0.134000,0.002000,0
372,0.449000,0.126000,0.001000,0
373,0.428000,0.109000,0.002000,0
374,0.479000,0.122000,0.002000,0
375,0.494000,0.111000,0.002000,0
376,0.486000,0.135000,0.002000,0
377,0.476000,0.128000,0.001000,0
378,0.473000,0.116000,0.002000,0
379,0.476000,0.140000,0.002000,0
380,0.497000,0.122000,0.002000,0
381,0.464000,0.110000,0.002000,0
382,0.453000,0.132000,0.002000,0
383,0.448000,0.122000,0.001000,0
384,0.469000,0.127000,0.002000,0
385,0.419000,0.116000,0.002000,0
386,0.462000,0.107000,0.001000,0
387,0.472000,0.136000,0.001000,0
388,0.461000,0.124000,0.001000,0
389,0.443000,0.119000,0.002000,0
390,0.415000,0.133000,0.001000,0
391,0.488000,0.122000,0.001000,0
392,0.471000,0.105000,0.001000,0
393,0.469000,0.115000,0.002000,0
394,0.475000,0.142000,0.001000,0
395,0.471000,0.126000,0.002000,0
396,0.445000,0.127000,0.002000,0
397,0.470000,0.123000,0.002000,0
398,0.467000,0.120000,0.001000,0
399,0.473000,0.106000,0.002000,0
400,0.461000,0.126000,0.002000,0
401,0.434000,0.121000,0.002000,0
402,0.470000,0.119000,0.001000,0
403,0.435000,0.126000,0.002000,0
404,0.456000,0.115000,0.002000,0
405,0.473000,0.122000,0.002000,0
406,0.470000,0.135000,0.002000,0
407,0.455000,0.130000,0.001000,0
408,0.492000,0.106000,0.002000,0
409,0.480000,0.144000,0.001000,0
410,0.448000,0.114000,0.001000,0
411,0.451000,0.112000,0.002000,0
412,0.445000,0.119000,0.001000,0
413,0.449000,0.139000,0.001000,0
414,0.451000,0.131000,0.002000,0
415,0.454000,0.117000,0.002000,0
416,0.505000,0.157000,0.001000,0
417,0.509000,0.124000,0.001000,0
418,0.483000,0.133000,0.001000,0
419,0.470000,0.125000,0.001000,0
420,0.455000,0.141000,0.001000,0
421,0.454000,0.121000,0.002000,0
422,0.473000,0.125000,0.001000,0
423,0.434000,0.133000,0.001000,0
