iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
1,51.942,1.406,0.125,0.001,12.259,0
2,27.933,1.211,0.237,0.002,1.334,0
3,2.151,1.052,0.210,0.001,0.864,0
4,3.634,0.874,0.181,0.001,0.860,0
5,3.006,1.307,0.188,0.001,0.901,0
6,3.438,1.000,0.178,0.001,0.823,0
7,2.354,0.888,0.196,0.001,0.989,0
8,2.154,0.950,0.154,0.001,0.837,0
9,1.834,0.845,0.173,0.001,0.798,0
10,1.593,0.740,0.155,0.000,0.690,0
11,1.752,0.773,0.148,0.001,0.824,0
12,2.198,1.027,0.162,0.002,0.986,0
13,2.298,1.219,0.179,0.001,0.865,0
14,1.935,0.992,0.157,0.001,0.760,0
15,1.834,0.805,0.167,0.001,0.852,0
16,2.045,1.010,0.188,0.002,0.830,0
17,1.770,0.883,0.133,0.000,0.743,0
18,1.806,0.889,0.146,0.000,0.755,0
19,1.605,0.761,0.154,0.001,0.682,0
20,1.715,0.747,0.160,0.001,0.802,0
21,2.027,1.030,0.132,0.001,0.834,0
22,1.755,0.810,0.131,0.001,0.806,0
23,1.612,0.776,0.134,0.001,0.694,0
24,1.676,0.785,0.139,0.000,0.735,0
25,1.900,0.871,0.145,0.001,0.877,0
26,1.790,0.866,0.131,0.000,0.783,0
27,1.810,0.828,0.123,0.000,0.840,0
28,1.663,0.805,0.124,0.002,0.723,0
29,1.891,0.803,0.156,0.001,0.925,0
30,2.261,0.971,0.233,0.003,1.040,0
31,1.994,1.015,0.145,0.001,0.817,0
32,1.729,0.843,0.147,0.001,0.723,0
33,1.654,0.780,0.130,0.001,0.737,0
34,8.566,0.960,0.137,0.001,7.461,0
35,16.705,1.490,0.179,0.001,14.979,0
36,16.617,1.402,0.219,0.001,14.979,0
37,16.629,1.476,0.196,0.002,14.858,0
38,16.693,1.387,0.234,0.001,14.896,0
39,16.621,1.440,0.230,0.001,14.936,0
40,16.673,1.584,0.270,0.001,14.801,0
41,16.671,1.742,0.295,0.001,14.583,0
42,16.644,1.982,0.325,0.002,14.311,0
43,16.734,2.334,0.299,0.001,14.056,0
44,21.097,2.351,0.287,0.001,18.427,0
45,21.091,1.675,0.282,0.002,19.107,0
46,16.099,2.425,0.240,0.002,9.043,0
47,16.638,1.817,0.337,0.001,14.453,0
48,16.652,1.674,0.342,0.002,14.619,0
49,16.708,1.713,0.345,0.002,14.631,0
50,16.659,1.809,0.354,0.001,14.476,0
51,16.680,1.898,0.322,0.002,14.440,0
52,16.679,1.968,0.343,0.002,14.349,0
53,16.750,2.161,0.351,0.002,14.221,0
54,16.651,3.409,0.321,0.002,12.889,0
55,16.874,3.808,0.348,0.002,12.684,0
56,16.639,3.512,0.301,0.002,12.788,0
57,16.767,2.332,0.324,0.002,14.078,0
58,16.495,4.239,0.306,0.006,11.903,0
59,16.858,3.430,0.305,0.002,13.084,0
