iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,food_quantity
1,1.7520,1.6050,0.1460,0.0010,0
2,1.4400,1.2760,0.1610,0.0030,0
3,1.3790,1.2540,0.1240,0.0010,0
4,1.3680,1.2450,0.1230,0.0000,0
5,1.3470,1.2290,0.1170,0.0010,0
6,1.2820,1.1640,0.1170,0.0010,0
7,1.2980,1.1790,0.1180,0.0010,0
8,1.2920,1.1780,0.1130,0.0010,0
9,1.2400,1.1260,0.1130,0.0010,0
10,1.2460,1.1320,0.1130,0.0010,0
11,1.2380,1.1240,0.1130,0.0010,0
12,1.2370,1.1230,0.1130,0.0010,0
13,1.2180,1.1070,0.1100,0.0010,0
14,1.2000,1.0880,0.1110,0.0010,0
15,1.2060,1.0940,0.1110,0.0010,0
16,1.2190,1.1060,0.1120,0.0010,0
17,1.1950,1.0850,0.1100,0.0000,0
18,1.1900,1.0800,0.1090,0.0010,0
19,1.1790,1.0700,0.1080,0.0010,0
20,1.1860,1.0780,0.1070,0.0010,0
21,1.1730,1.0640,0.1080,0.0010,0
22,1.1550,1.0470,0.1070,0.0010,0
23,1.1490,1.0430,0.1050,0.0010,0
24,1.1420,1.0370,0.1050,0.0000,0
25,1.1420,1.0380,0.1030,0.0010,0
26,1.1260,1.0210,0.1040,0.0010,0
27,1.1210,1.0160,0.1040,0.0010,0
28,1.1230,1.0180,0.1040,0.0010,0
29,1.1270,1.0220,0.1040,0.0010,0
30,1.1250,1.0200,0.1050,0.0000,0
31,1.1190,1.0140,0.1040,0.0010,0
32,1.1250,1.0200,0.1040,0.0010,0
33,1.1300,1.0250,0.1040,0.0010,0
34,1.0620,0.9650,0.0960,0.0010,0
35,1.0470,0.9500,0.0960,0.0010,0
36,1.0640,0.9670,0.0970,0.0000,0
37,1.0500,0.9500,0.0990,0.0010,0
38,1.0420,0.9450,0.0960,0.0010,0
39,1.0420,0.9450,0.0960,0.0010,0
40,1.0410,0.9440,0.0960,0.0010,0
41,1.0490,0.9530,0.0960,0.0000,0
