iteration,temps_total_ms,temps_fourmis_ms,temps_evap_ms,temps_update_ms,temps_render_ms,food_quantity
1,28.075,2.346,0.516,0.006,24.007,0
2,33.686,3.097,1.312,0.015,28.288,0
3,33.650,2.938,0.684,0.007,29.759,0
4,34.341,2.217,0.899,0.010,31.102,0
5,32.199,2.708,0.623,0.009,28.851,0
6,32.894,2.383,0.925,0.009,29.570,0
7,33.656,2.101,0.529,0.010,31.010,0
8,33.701,2.375,0.878,0.006,30.314,0
9,32.896,2.541,0.790,0.008,29.548,0
10,33.964,2.472,0.864,0.007,30.612,0
11,32.497,2.878,0.539,0.008,29.064,0
12,33.288,2.367,0.969,0.007,29.939,0
13,33.671,2.196,0.663,0.018,30.786,0
14,33.855,2.771,0.659,0.007,30.396,0
15,33.062,2.737,0.636,0.007,29.535,0
16,32.679,2.619,0.593,0.008,29.118,0
17,33.682,2.474,0.684,0.008,29.164,0
18,33.005,2.221,0.913,0.012,29.647,0
19,33.742,2.264,0.833,0.009,30.467,0
20,33.370,2.611,0.645,0.010,29.946,0
21,32.821,2.239,0.811,0.012,29.514,0
22,33.868,2.299,0.815,0.013,30.489,0
23,33.086,2.750,0.588,0.007,28.674,0
24,34.298,2.396,0.812,0.008,30.910,0
25,32.966,2.762,0.672,0.007,29.271,0
26,32.435,2.774,0.683,0.016,28.022,0
27,32.903,2.143,0.945,0.013,29.794,0
28,33.385,2.058,0.763,0.016,30.541,0
29,33.666,2.200,0.895,0.006,30.557,0
30,34.086,2.180,0.906,0.010,30.983,0
31,32.395,3.430,0.660,0.008,28.289,0
32,33.044,2.108,0.748,0.019,30.161,0
33,33.983,2.142,0.886,0.006,30.941,0
34,33.989,2.481,0.767,0.014,30.719,0
35,31.807,3.224,0.786,0.007,27.450,0
36,33.791,2.253,0.751,0.010,30.244,0
37,33.054,3.023,0.746,0.009,29.270,0
38,34.390,2.307,0.614,0.011,30.193,0
39,32.994,2.889,0.661,0.008,29.428,0
40,33.150,2.634,0.810,0.008,29.671,0
41,33.290,2.566,0.657,0.009,30.048,0
42,33.931,2.356,0.644,0.013,30.910,0
43,32.882,2.370,0.820,0.008,29.676,0
44,33.767,2.405,0.643,0.007,30.704,0
45,34.663,2.452,0.704,0.007,31.491,0
46,31.139,4.303,0.841,0.008,25.969,0
47,32.897,2.474,0.744,0.011,29.660,0
48,34.498,2.103,0.872,0.007,31.509,0
49,33.400,2.503,0.605,0.008,30.275,0
50,34.048,2.796,0.644,0.008,30.591,0
51,31.553,2.983,0.751,0.009,27.799,0
52,33.119,2.167,0.890,0.013,30.042,0
53,33.317,2.836,0.608,0.013,29.852,0
54,33.730,2.249,0.880,0.010,30.585,0
55,32.934,2.900,0.582,0.013,29.375,0
56,33.875,2.246,0.950,0.016,30.655,0
57,35.317,2.550,0.643,0.015,32.099,0
58,30.889,2.367,0.562,0.009,27.942,0
59,32.897,1.987,0.868,0.006,30.029,0
60,34.106,2.001,0.552,0.021,31.525,0
61,34.066,2.603,0.578,0.008,30.867,0
62,33.063,3.561,0.864,0.008,28.620,0
63,32.252,2.527,0.573,0.007,29.134,0
64,34.330,2.143,0.903,0.011,31.265,0
65,32.504,2.632,0.611,0.007,29.245,0
66,33.061,2.142,0.885,0.006,30.017,0
67,34.114,2.159,0.928,0.007,31.012,0
68,33.017,2.537,0.568,0.008,29.896,0
69,34.953,2.519,0.583,0.008,31.827,0
70,34.424,3.033,0.798,0.009,30.574,0
71,30.424,3.539,0.693,0.009,26.171,0
72,33.068,2.469,0.752,0.009,29.831,0
73,34.132,2.136,0.882,0.013,31.086,0
74,33.001,2.482,0.648,0.010,29.852,0
75,32.766,2.566,0.688,0.009,29.496,0
76,33.286,2.153,0.902,0.010,30.214,0
77,33.093,2.140,0.883,0.008,30.055,0
78,34.852,2.434,0.994,0.015,31.402,0
79,32.879,2.608,1.033,0.014,29.213,0
80,33.196,2.809,0.757,0.012,29.610,0
81,33.285,2.401,0.580,0.010,30.285,0
82,33.164,2.308,0.592,0.015,30.241,0
83,34.623,2.310,0.555,0.006,31.743,0
84,33.201,2.834,1.225,0.022,29.109,0
85,32.668,2.457,0.578,0.007,29.617,0
86,32.403,2.411,1.153,0.013,28.817,0
87,33.311,3.414,0.760,0.010,29.118,0
88,33.300,2.197,0.512,0.007,30.577,0
89,33.104,2.211,0.887,0.013,29.984,0
90,33.744,2.639,0.622,0.012,30.464,0
91,33.288,2.916,0.689,0.008,29.667,0
92,34.103,2.909,0.675,0.009,30.496,0
93,33.244,2.870,0.728,0.011,29.626,0
94,32.477,2.417,0.768,0.008,29.274,0
95,33.585,2.375,0.867,0.007,30.328,0
96,33.348,2.637,0.669,0.010,30.023,0
97,33.769,2.570,0.779,0.008,30.403,0
98,31.285,2.513,1.167,0.017,27.577,0
99,34.107,1.891,0.613,0.012,31.584,0
100,33.756,2.472,0.518,0.008,30.750,0
101,34.502,2.568,0.660,0.008,31.258,0
102,33.938,2.604,0.948,0.025,30.351,0
103,33.992,3.201,0.842,0.022,29.906,0
104,30.684,2.940,1.105,0.017,26.600,0
105,33.507,2.275,0.571,0.014,30.639,0
106,34.076,2.465,0.903,0.009,30.690,0
107,34.407,2.650,0.915,0.024,30.807,0
108,30.833,3.100,0.882,0.007,26.833,0
109,33.120,2.467,0.598,0.007,30.039,0
110,33.914,2.152,0.898,0.010,30.846,0
111,33.963,2.375,0.932,0.009,30.640,0
112,34.108,2.744,0.708,0.008,30.639,0
113,32.184,2.515,1.043,0.034,28.582,0
114,33.205,3.036,0.608,0.008,29.544,0
115,33.369,2.458,0.691,0.010,30.200,0
116,34.380,2.728,0.696,0.008,30.939,0
117,33.995,3.603,0.808,0.008,29.564,0
118,30.601,2.630,1.192,0.016,26.752,0
119,34.154,1.957,0.526,0.008,31.656,0
120,32.380,2.362,0.517,0.008,29.483,0
121,33.413,2.175,0.550,0.011,30.668,0
122,32.926,2.084,0.781,0.019,30.033,0
123,33.865,2.279,0.919,0.011,30.648,0
124,34.126,2.342,0.526,0.007,31.243,0
125,33.308,2.547,0.664,0.009,30.079,0
126,33.072,2.544,0.692,0.008,29.819,0
127,33.503,2.490,0.718,0.008,30.279,0
128,33.099,2.579,0.717,0.009,29.786,0
129,33.180,2.518,0.839,0.016,29.799,0
130,35.394,2.516,0.897,0.018,31.955,0
