iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
1,0.357042,9.437167,2.731708,0.008584,0
2,0.484250,6.430333,2.901667,0.008333,0
3,0.551291,4.448375,2.653583,0.008000,0
4,0.465375,4.353875,2.635416,0.008791,0
5,0.430917,5.523750,2.848417,0.005208,0
6,0.433250,4.627167,2.736959,0.008875,0
7,0.473583,4.628833,2.780542,0.007667,0
8,0.438667,4.913875,3.463750,0.006709,0
9,0.529500,5.587250,2.686375,0.006833,0
10,0.462875,4.663333,2.758458,0.008167,0
11,0.751458,4.534750,3.014833,0.007458,0
12,0.671833,4.465667,2.868000,0.008166,0
13,0.614625,4.514041,2.797417,0.124875,0
14,0.950708,4.471875,2.738166,0.007875,0
15,0.549958,5.308792,2.859000,0.004750,0
16,0.438667,4.437500,3.040792,0.008917,0
17,0.419750,5.959000,2.988792,0.012083,0
18,0.426375,4.866083,2.790250,0.007875,0
19,0.652208,5.151917,2.862625,0.008458,0
20,0.424166,4.407250,2.756125,0.006875,0
21,0.472000,4.469458,2.800167,0.015042,0
22,0.463667,5.259417,2.665000,0.006667,0
23,0.417292,4.548709,2.703916,0.008250,0
24,0.401208,4.565875,2.629750,0.008417,0
25,0.440084,4.832042,2.649375,0.009125,0
26,0.390375,4.680000,2.650625,0.007875,0
27,0.423709,4.541709,2.759334,0.005500,0
28,0.411208,4.567375,2.851958,0.009125,0
29,0.423333,4.507375,2.613709,0.015000,0
30,0.412458,4.256792,2.701833,0.008208,0
31,0.409334,4.780125,2.711333,0.008417,0
32,0.414167,4.946166,4.203000,0.004750,0
33,0.412083,4.525083,2.951541,0.005292,0
34,0.425625,4.582125,2.887500,0.008583,0
35,0.427500,4.306750,2.570667,0.008166,0
36,0.403541,4.428250,2.578334,0.007666,0
37,0.393583,4.472959,2.583209,0.007708,0
38,0.415833,4.457333,2.557167,0.008333,0
39,0.414459,4.516459,2.729875,0.007625,0
40,0.411875,4.538959,3.080166,0.006458,0
41,0.425000,4.418125,2.620083,0.012625,0
42,0.386250,4.367000,2.820542,0.006250,0
43,2.074625,4.917083,2.548875,0.007958,0
44,0.408625,4.354625,2.720416,0.007958,0
45,0.399459,4.556708,2.678417,0.006416,0
46,0.376750,4.588375,2.545834,0.007917,0
47,0.430125,4.173709,2.578833,0.007709,0
48,0.411166,4.492458,2.605167,0.007875,0
49,0.390667,4.626166,2.912208,0.007875,0
50,0.395375,4.382584,2.664500,0.007458,0
51,0.421125,4.272959,2.739291,0.008291,0
52,0.415834,4.415500,2.764708,0.008500,0
53,0.420167,4.479458,3.546750,0.005625,0
54,0.394250,4.401250,2.918875,0.008500,0
55,0.415458,4.348458,2.762666,0.007958,0
56,0.422250,4.446375,2.803750,0.007959,0
57,0.388334,4.425542,2.574916,0.009125,0
58,0.385875,4.347500,2.619208,0.008500,0
59,0.421083,4.250375,2.748208,0.008208,0
60,0.465083,4.522042,2.593959,0.007792,0
61,0.424709,4.487459,2.546625,0.008125,0
62,0.524666,4.330208,2.690791,0.008250,0
63,0.395042,4.613000,2.686583,0.008250,0
64,0.401667,4.481708,2.548584,0.007500,0
65,0.372750,4.419458,2.584542,0.007833,0
66,0.379250,4.276875,2.710167,0.007833,0
67,0.386500,4.423084,2.717917,0.007875,0
68,0.393542,4.478500,2.513250,0.008667,0
69,0.364375,4.443375,2.622292,0.006209,0
70,0.435250,4.304458,2.723166,0.007667,0
71,0.397125,4.484458,2.522416,0.008416,0
72,0.371125,4.790000,2.784709,0.007416,0
73,0.400708,4.690417,3.046375,0.008000,0
74,0.413000,5.347959,2.899875,0.007542,0
75,0.402000,4.881125,2.661750,0.008375,0
76,0.406583,4.627334,2.665041,0.008000,0
77,0.390458,4.477041,2.540917,0.006541,0
78,0.410375,4.372000,2.652417,0.008375,0
79,0.396583,4.472584,2.693334,0.007417,0
80,0.394208,4.377583,2.559667,0.007958,0
81,0.416042,4.349375,2.542250,0.006334,0
82,0.415208,4.333333,2.683750,0.008125,0
83,0.401958,4.328584,2.619250,0.007167,0
84,0.413125,4.423000,2.494459,0.006375,0
85,0.418750,4.511750,2.647333,0.007750,0
86,0.410083,4.557292,2.801333,0.007958,0
87,0.393042,4.660666,2.651542,0.008084,0
88,0.410500,4.457917,2.686959,0.005833,0
89,0.425542,4.696209,2.674792,0.008125,0
90,0.404416,5.349250,2.672833,0.008833,0
91,0.444583,5.509709,2.965541,0.006125,0
92,0.393375,4.968042,2.667709,0.008375,0
93,0.398042,5.548208,2.564875,0.008208,0
94,0.393208,4.455375,2.535250,0.007333,0
95,1.819208,5.146125,2.689709,0.008041,0
96,0.412125,4.334417,2.671708,0.008167,0
97,0.364833,5.548500,3.387875,0.006167,0
98,0.400708,4.533000,2.616000,0.007625,0
99,0.433459,4.487625,2.643500,0.008083,0
100,0.404375,4.312666,2.668042,0.008333,0
101,0.394125,5.636834,2.636041,0.007875,0
102,0.409375,4.460834,2.530500,0.019458,0
103,0.363209,4.428166,2.573750,0.008208,0
104,0.392542,4.094375,2.720000,0.007959,0
105,0.400000,5.242875,2.698000,0.008208,0
106,0.422208,4.599625,2.589208,0.013334,0
107,0.384791,4.497417,2.737167,0.008125,0
108,0.383084,4.986375,3.409000,0.012417,0
109,0.410458,5.273500,3.071958,0.010083,0
110,0.492542,5.789500,3.935625,0.007667,0
111,0.451792,4.816083,2.707750,0.006208,0
112,0.445959,4.925500,2.783250,0.007084,0
113,0.401125,4.915458,2.861792,0.008541,0
114,0.410709,4.912833,2.982625,0.010542,0
115,0.532959,5.361583,2.921250,0.006250,0
116,0.471166,4.933333,2.647667,0.007500,0
117,0.417959,5.511167,2.702625,0.008333,0
118,0.441792,5.355334,2.693917,0.007792,0
119,0.409542,4.591416,3.186583,0.009458,0
120,0.421541,4.587125,2.736334,0.007875,0
121,0.461250,5.725917,2.821750,0.005916,0
122,0.400334,5.837084,2.595292,0.007500,0
123,0.381584,4.683750,4.217417,0.008042,0
124,0.416041,5.052500,2.649708,0.007084,0
125,0.379584,4.368833,2.630792,0.010500,0
126,0.433750,4.497375,2.607958,0.008417,0
127,0.413333,4.483333,3.728125,0.004875,0
128,0.417625,5.348833,3.603208,0.007792,0
129,0.427625,4.592958,3.946167,0.006833,0
130,1.354542,5.140708,2.718625,0.008417,0
131,0.430625,4.533208,2.732000,0.008125,0
132,0.399083,5.310208,2.636625,0.007917,0
133,0.413292,4.457083,2.945250,0.006375,0
134,0.412584,4.524792,2.662667,0.008375,0
135,0.403500,4.346375,3.894959,0.006875,0
136,0.412750,4.429000,2.632834,0.008500,0
137,0.406167,4.426292,3.116584,0.006292,0
138,0.402667,4.431333,2.706625,0.007916,0
139,0.404292,4.355042,2.639500,0.008250,0
140,0.401708,4.385250,2.778916,0.008250,0
141,0.422792,4.619291,2.523875,0.007042,0
142,0.413458,5.279459,2.582208,0.008833,0
143,0.427875,4.432167,2.769417,0.008209,0
144,0.401542,4.614292,2.857250,0.008167,0
145,0.414542,4.397667,2.502166,0.006375,0
146,0.374583,4.411167,2.597542,0.012583,0
147,0.393292,4.551458,3.045417,0.005583,0
148,0.415833,4.749291,2.726250,0.006417,0
149,0.405791,4.523958,2.743292,0.009958,0
150,0.416083,5.580500,3.088250,0.009166,0
151,0.469583,5.084625,3.770792,0.007541,0
152,0.523375,5.366625,3.062500,0.007333,0
153,0.576208,4.840750,3.004083,0.007000,0
154,0.423792,5.112541,3.111916,0.008375,0
155,0.482709,5.009292,2.759875,0.008166,0
156,0.427458,4.511916,3.426666,0.006041,0
157,0.434209,4.411334,3.259542,0.006709,0
158,0.402541,4.612000,2.609667,0.008042,0
159,0.409166,4.796500,2.630833,0.007250,0
160,0.407875,4.494541,2.568917,0.009750,0
161,1.560875,4.874291,2.516375,0.008375,0
162,0.451375,4.390792,2.626375,0.008333,0
163,0.403291,5.926083,2.550708,0.006542,0
164,0.411083,4.464625,2.668584,0.008000,0
165,0.393333,4.365334,2.551208,0.008459,0
166,0.396291,4.388250,2.651250,0.007709,0
167,0.377417,5.980584,2.531625,0.008500,0
168,0.441917,4.364125,3.361792,0.010459,0
169,0.401125,5.228750,3.938417,0.006708,0
170,0.414292,4.670583,5.382125,0.006666,0
171,0.404583,4.460959,2.746959,0.008667,0
172,0.442167,5.866625,2.767917,0.008209,0
173,0.408750,4.469042,2.691166,0.008250,0
174,0.410250,4.512708,2.651541,0.008208,0
175,0.402584,4.633708,3.475250,0.006875,0
176,0.433750,4.436459,2.743125,0.008125,0
177,0.417584,4.991334,2.766833,0.007958,0
178,0.390791,4.564083,3.928917,0.005208,0
179,0.372750,4.454875,2.660417,0.017625,0
180,0.390375,4.508666,2.582125,0.008041,0
181,0.376166,4.610375,2.624875,0.014041,0
182,0.413375,4.684208,2.584709,0.008042,0
183,0.377833,5.798375,3.099917,0.008083,0
184,0.402083,4.452958,2.539959,0.006583,0
185,0.384708,4.444166,2.642208,0.008209,0
186,0.436125,4.444750,2.712916,0.007875,0
187,0.397458,4.419625,2.650125,0.008958,0
188,0.401792,5.004500,3.474834,0.008458,0
189,0.399166,4.809041,3.416625,0.007167,0
190,0.384375,5.225458,2.901583,0.006875,0
191,0.677000,5.991458,2.734792,0.008042,0
192,0.426375,4.645916,2.869083,0.008625,0
193,0.421709,4.662083,2.828375,0.008375,0
194,1.034667,4.788167,2.767458,0.007917,0
195,0.412667,4.462500,2.807375,0.008250,0
196,0.394250,4.633458,2.647542,0.008292,0
197,0.426417,4.497791,2.630542,0.007292,0
198,0.659333,4.561708,2.699042,0.008875,0
199,0.419959,4.616625,2.603625,0.008167,0
200,0.398375,5.214959,2.693541,0.008792,0
201,0.405125,4.519083,2.453000,0.007375,0
202,0.388875,4.437834,2.705041,0.008334,0
203,0.410083,6.036125,2.703875,0.006917,0
204,0.405791,5.079583,2.642250,0.007708,0
205,0.415083,4.435417,2.697291,0.008166,0
206,0.401042,4.493500,2.569584,0.005584,0
207,0.403916,6.058833,2.666166,0.008458,0
208,0.407083,4.920792,2.732042,0.005916,0
209,0.392250,4.512667,2.729625,0.007959,0
210,0.392041,5.068917,2.989000,0.008417,0
211,0.404875,4.491958,3.082458,0.007083,0
212,0.403042,4.679500,2.858459,0.006209,0
213,0.480125,7.046792,3.029250,0.006375,0
214,0.423125,4.862791,2.971667,0.007333,0
215,0.426458,4.683500,2.881916,0.008000,0
216,0.882042,5.300333,2.629583,0.007583,0
217,0.416375,5.239625,2.695792,0.008250,0
218,0.409333,4.649125,2.829375,0.008416,0
219,0.431833,4.890625,2.887500,0.006917,0
220,0.413125,4.913291,2.559833,0.006250,0
221,0.421166,4.537375,2.653334,0.007792,0
222,0.409708,6.096917,3.041667,0.007709,0
223,0.408667,4.478791,2.554709,0.012042,0
224,0.382458,4.553083,2.646750,0.019625,0
225,0.409500,4.385500,2.772042,0.008333,0
226,0.391084,5.150834,3.130250,0.007583,0
227,0.435542,4.649791,2.984417,0.018834,0
228,0.485834,5.202083,3.858791,0.008291,0
229,0.418375,5.401708,2.786000,0.008208,0
230,0.407084,4.629333,2.757208,0.007709,0
231,0.403958,4.920625,2.735167,0.007375,0
232,0.451250,4.715083,3.705917,0.006416,0
233,0.401333,5.604416,3.792792,0.006333,0
234,0.370084,9.167709,2.766667,0.008292,0
235,0.387750,4.460209,2.571291,0.007875,0
236,0.366166,4.648959,2.657000,0.007833,0
237,0.412000,4.820959,2.594958,0.007208,0
238,0.406875,4.705792,2.692000,0.006667,0
239,0.445208,4.447292,2.624208,0.008333,0
240,0.416708,4.722042,2.673792,0.007542,0
241,0.405542,4.494250,2.665250,0.007917,0
242,0.397208,5.261458,2.764709,0.008500,0
243,0.414583,4.524250,2.752250,0.008500,0
244,0.398166,4.533500,3.170875,0.008750,0
245,0.437750,4.570875,3.060875,0.006375,0
246,0.407542,4.632333,2.985334,0.006583,0
247,0.420208,5.996334,2.772875,0.008541,0
248,0.387667,4.436792,3.345917,0.007167,0
249,0.395541,4.607959,2.627042,0.008500,0
250,0.394959,6.238666,2.699667,0.008542,0
251,0.388875,4.443541,3.883084,0.005208,0
252,0.418500,4.603875,2.624709,0.008166,0
253,0.410584,4.475625,2.606084,0.008208,0
254,0.381000,5.269916,2.831167,0.007041,0
255,0.404833,4.530125,2.674500,0.008458,0
256,0.371041,5.534541,3.023667,0.008333,0
257,0.395958,4.542208,2.552834,0.006625,0
258,0.402084,4.414166,2.705166,0.008375,0
259,0.441333,5.832000,2.705333,0.008000,0
260,0.417791,4.490209,3.948875,0.008666,0
261,0.430792,4.597375,2.625500,0.012917,0
262,0.391167,4.476958,2.607958,0.008083,0
263,0.406333,4.341667,2.678292,0.007541,0
264,0.354541,6.222208,3.670791,0.008292,0
265,0.403667,4.731584,2.582708,0.008000,0
266,0.432292,4.948042,2.587708,0.006208,0
267,0.423500,4.425542,2.615292,0.008084,0
268,0.415041,4.449541,2.598666,0.007792,0
269,0.393625,4.398167,2.518875,0.009625,0
270,0.373542,4.367708,2.707542,0.008083,0
271,0.410333,4.303542,2.723667,0.008709,0
272,0.356875,4.565584,2.545542,0.006667,0
273,0.399667,4.437708,2.590958,0.008083,0
274,0.419500,4.402334,2.800750,0.008334,0
275,0.411041,4.788000,2.668542,0.012958,0
276,0.395458,4.561750,3.286292,0.007667,0
277,0.370666,5.103333,3.021167,0.006625,0
278,0.473375,4.417417,2.641583,0.007750,0
279,0.425209,4.621500,2.529042,0.005416,0
280,0.380166,4.548583,2.628083,0.008583,0
281,0.380167,5.408417,2.720916,0.008459,0
282,0.402875,4.509375,2.700458,0.008458,0
283,0.301709,6.086708,3.493833,0.008042,0
284,0.398083,4.474959,2.691875,0.008208,0
285,0.398667,4.891709,2.694416,0.007750,0
286,0.386625,5.009333,2.730834,0.008000,0
287,0.399125,4.501958,2.699000,0.007709,0
288,0.410959,4.677458,2.628834,0.007959,0
289,0.461667,4.356500,2.606125,0.008250,0
290,0.446625,4.437750,2.701791,0.008083,0
291,0.408583,4.489083,2.648083,0.008375,0
292,0.398542,4.535167,2.603417,0.007750,0
293,0.411125,4.257167,2.734625,0.008583,0
294,0.393208,4.442667,2.713000,0.007500,0
295,0.396792,4.510667,2.514333,0.005375,0
296,0.361584,4.379333,2.542625,0.007917,0
297,0.393542,4.296958,2.648666,0.008042,0
298,0.389625,4.506417,2.473125,0.007500,0
299,0.365459,4.453792,2.589333,0.007666,0
300,0.383375,4.307417,2.617208,0.008375,0
301,0.407709,4.404208,2.722833,0.008500,0
302,0.386458,6.712500,2.618833,0.008666,0
303,0.403167,4.518417,2.614542,0.006333,0
304,0.432333,4.477125,2.739125,0.008458,0
305,1.203750,4.463917,2.518542,0.006666,0
306,0.385958,4.467041,2.608292,0.007958,0
307,0.387125,4.551000,2.533500,0.006167,0
308,0.388708,4.295209,2.619792,0.008291,0
309,0.383458,4.512666,2.792458,0.007375,0
310,0.400541,4.545792,2.698542,0.008000,0
