iteration,temps_border_ms,temps_move_ms,temps_migrate_ms,temps_evap_ms,food_quantity
1,15.454250,0.268458,3.672041,0.055583,0
2,0.032750,0.206458,0.439916,0.049916,0
3,0.024000,0.237125,0.213709,0.029000,0
4,0.396125,0.186625,0.417875,0.031708,0
5,0.018375,0.196541,0.168583,0.030667,0
6,0.016291,0.171875,0.138792,0.031291,0
7,0.018417,0.173084,0.141125,0.029458,0
8,0.011333,0.167542,0.135291,0.036459,0
9,0.011916,0.173125,0.141833,0.024875,0
10,0.011292,0.166375,0.137625,0.030916,0
11,0.017667,0.168000,0.207959,0.017292,0
12,0.021292,0.186958,0.152584,0.030291,0
13,0.011625,0.168458,0.134959,0.044333,0
14,0.021750,0.181417,0.202708,0.440625,0
15,0.014000,0.184084,0.150916,0.028208,0
16,0.017541,0.185458,0.618750,0.044875,0
17,0.020875,0.207000,0.153666,0.033250,0
18,0.021292,0.178250,0.145583,0.028875,0
19,0.011666,0.171000,0.140500,0.032042,0
20,0.012000,0.200083,0.171375,0.031875,0
21,0.019042,0.171416,0.136083,0.031417,0
22,0.011709,0.167958,0.138583,0.031583,0
23,0.014000,0.167208,0.139459,0.032125,0
24,0.011625,0.165042,0.134291,0.032041,0
25,0.012167,0.161875,0.130916,0.031333,0
26,0.011292,0.162042,0.130459,0.031667,0
27,0.011625,0.161958,0.132209,0.030667,0
28,0.011917,0.161125,0.131625,0.031125,0
29,0.011500,0.162333,0.133459,0.031334,0
30,0.012292,0.161416,0.132583,0.031416,0
31,0.012291,0.161834,0.131125,0.030958,0
32,0.011292,0.159042,0.129750,0.031375,0
33,0.011583,0.160459,0.129500,0.030916,0
34,0.011250,0.160042,0.129542,0.031084,0
35,0.022750,0.158792,0.128500,0.030375,0
36,0.012292,0.158458,0.127958,0.030542,0
37,0.011583,0.157625,0.128250,0.032000,0
38,0.011666,0.160917,0.131750,0.030541,0
39,0.011500,0.162167,0.132459,0.031791,0
40,0.011542,0.160333,0.132041,0.031417,0
41,0.011667,0.160667,0.130542,0.031583,0
42,0.011917,0.162125,0.133000,0.031875,0
43,0.011792,0.159833,0.129792,0.030542,0
44,0.012250,0.161708,0.133500,0.031000,0
45,0.011958,0.160042,0.130917,0.032208,0
46,0.011334,0.159041,0.129750,0.031084,0
47,0.012000,0.210667,0.182166,0.032708,0
48,0.011833,0.155833,0.129125,0.030958,0
49,0.011667,0.159417,0.130792,0.032500,0
50,0.018125,0.157792,0.128292,0.031209,0
51,0.012000,0.160291,0.131042,0.031917,0
52,0.023584,0.158500,0.118542,0.030917,0
53,0.012167,0.159208,0.130292,0.031042,0
54,0.012125,0.156916,0.129250,0.032250,0
