iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
1,1.712300,1.316400,2.456700,0.006000,0
2,1.904600,1.235400,2.521200,0.005800,0
3,1.947100,1.230100,2.492700,0.006200,0
4,2.046300,1.386000,2.426100,0.005900,0
5,1.995800,1.321200,2.449600,0.006300,0
6,1.987600,1.338400,2.633700,0.005900,0
7,2.071200,1.215500,2.455100,0.005800,0
8,1.987100,1.238100,2.392200,0.005700,0
9,2.083200,1.957100,2.818200,0.006600,0
10,2.127600,1.353500,2.658500,0.005900,0
11,2.010300,1.702500,2.604400,0.005700,0
12,2.073200,1.630500,2.706800,0.006500,0
13,2.097200,1.351900,3.125800,0.007000,0
14,2.161400,1.314400,2.626500,0.006000,0
15,2.148500,1.549600,2.702900,0.007100,0
16,2.211400,1.269700,2.466800,0.005700,0
17,1.918500,1.247000,2.516300,0.005900,0
18,1.952300,1.288700,2.870600,0.006100,0
19,1.899100,1.320600,2.601100,0.005900,0
20,1.876500,1.326400,3.449500,0.008400,0
21,2.647100,1.802500,3.601800,0.007800,0
22,3.921500,2.888200,4.854300,0.008800,0
23,4.234000,2.166900,3.788900,0.010300,0
24,5.644100,4.933700,3.353900,0.006800,0
25,3.494500,1.802400,2.972800,0.007100,0
26,3.082900,2.306700,4.003300,0.010600,0
27,3.970300,2.515700,4.059800,0.007100,0
28,4.267900,4.400400,4.776200,0.009300,0
29,4.004400,2.286600,4.513300,0.009900,0
30,5.449100,4.098100,3.229900,0.007300,0
31,3.089500,1.704500,3.251900,0.012200,0
32,2.764200,1.474300,5.412200,0.013100,0
33,3.650900,1.812100,2.508600,0.005100,0
34,1.574300,1.106800,2.408100,0.005700,0
35,1.825700,1.682900,2.576300,0.005900,0
36,1.865700,1.248000,2.657700,0.005700,0
37,1.893600,1.258800,2.962500,0.005700,0
38,1.899900,1.329400,2.489500,0.006200,0
39,1.945300,1.322400,2.823800,0.008300,0
40,2.587700,1.229800,2.467100,0.006500,0
41,1.908600,1.241000,2.442500,0.005600,0
42,2.230500,1.391000,2.731200,0.006200,0
43,1.860500,1.210900,2.778500,0.008500,0
44,2.027600,1.236200,2.772600,0.005500,0
45,1.978600,1.231700,2.506600,0.005700,0
46,1.910800,1.233200,2.448000,0.005600,0
47,2.234000,1.251200,2.740000,0.006000,0
48,1.942100,1.244900,2.453800,0.005700,0
49,1.925800,1.767500,3.050000,0.009000,0
50,2.124100,1.174100,2.431200,0.005900,0
51,1.914800,1.265000,2.619500,0.005900,0
52,1.957300,1.248400,2.808000,0.005800,0
53,1.909000,1.254600,2.428600,0.005900,0
54,2.018900,1.269800,2.510400,0.005500,0
55,1.995200,1.260600,2.469200,0.005800,0
56,1.796500,1.235100,2.575900,0.005600,0
57,1.924900,1.252300,2.591400,0.006800,0
58,2.518200,1.227600,2.471600,0.005900,0
59,2.247100,1.220600,3.016000,0.011400,0
60,2.322800,1.284100,2.412600,0.005700,0
61,1.922800,1.224300,2.638500,0.006000,0
62,1.864500,1.361500,2.907700,0.006000,0
63,1.979600,1.363800,2.827200,0.006300,0
64,1.940800,1.423400,2.511200,0.006100,0
65,1.936400,1.329200,2.491600,0.006000,0
66,2.077500,1.248200,2.481900,0.005400,0
67,1.838900,1.419600,2.707600,0.006200,0
68,1.803200,1.491700,2.923900,0.006100,0
69,2.014000,1.385800,2.603300,0.005700,0
70,1.842500,1.392400,2.749600,0.006900,0
71,2.522000,1.635100,2.810200,0.006000,0
72,1.929900,1.490000,2.626900,0.006000,0
73,1.879400,1.272700,2.499000,0.005800,0
74,1.835000,1.287800,2.487600,0.005900,0
75,1.914000,1.267100,3.222200,0.006900,0
76,3.038200,1.648000,2.916300,0.007900,0
77,3.007200,2.169200,3.121400,0.007900,0
78,1.995100,1.355300,2.778500,0.006000,0
79,1.829100,1.407200,3.861300,0.008700,0
80,3.256100,1.949200,3.516300,0.008300,0
81,2.464900,2.223800,3.521900,0.007400,0
82,2.085200,1.966200,3.456700,0.010100,0
83,3.544700,2.150300,4.191300,0.007700,0
84,2.014600,1.321800,2.716600,0.005700,0
85,1.980200,1.774500,3.026600,0.006400,0
86,3.177600,1.683000,3.924800,0.022300,0
87,2.105500,1.285300,2.570500,0.005700,0
88,1.719600,1.374100,2.753600,0.008700,0
89,1.835100,1.410800,2.910400,0.007000,0
90,1.958400,1.377900,2.625200,0.006300,0
91,2.030700,1.892100,2.693200,0.006100,0
92,2.488900,1.531600,2.703000,0.006900,0
93,2.819100,1.470200,2.764100,0.006800,0
94,2.931300,1.446900,2.630400,0.007400,0
95,2.240600,1.462500,2.711100,0.006100,0
96,1.966200,1.365400,2.702000,0.005900,0
97,1.820200,1.341400,2.572900,0.005800,0
98,1.777800,1.280700,2.429600,0.005600,0
99,1.863400,1.276300,2.462400,0.005800,0
100,1.855600,1.274400,2.472000,0.005600,0
101,1.839000,1.243900,2.598100,0.007000,0
102,1.802200,1.848900,2.806000,0.005600,0
103,1.843400,1.821300,2.670800,0.006000,0
104,1.945500,1.342800,2.652500,0.005800,0
105,1.900200,1.285400,2.546400,0.005700,0
106,1.810600,1.404200,3.248200,0.007600,0
107,2.153800,1.564900,2.720800,0.005600,0
108,1.847200,1.791800,2.794200,0.006100,0
109,2.403900,1.559100,2.554900,0.006000,0
110,1.890600,1.352400,2.603800,0.006200,0
111,1.918900,1.539100,2.613600,0.005800,0
112,1.839400,1.314900,2.461200,0.007700,0
113,1.848200,1.264400,2.722600,0.005700,0
114,1.949400,1.307400,2.471000,0.005600,0
115,1.814300,1.237700,2.515600,0.005400,0
116,2.007600,1.253000,2.691200,0.005800,0
117,1.662200,1.270300,2.410100,0.005800,0
118,1.808500,1.266900,2.732600,0.005400,0
119,1.657900,1.283100,2.492600,0.005600,0
120,1.806500,1.235000,2.442600,0.005800,0
121,1.842100,1.283000,2.419000,0.005800,0
122,1.876500,1.249500,2.494600,0.006100,0
123,1.815700,1.253800,3.101500,0.006000,0
124,1.968500,1.518100,2.792500,0.006200,0
125,1.961800,1.432000,2.657500,0.006700,0
126,1.968700,1.425100,2.641600,0.006300,0
127,2.058200,1.364200,2.607300,0.006200,0
128,1.973800,1.379700,2.659100,0.005800,0
129,1.900100,1.646700,2.641000,0.006000,0
130,1.918400,1.923800,3.106500,0.007600,0
131,2.105400,1.457400,3.004700,0.006200,0
132,2.267300,1.568200,3.203800,0.006700,0
133,2.852300,1.274500,2.772400,0.007600,0
134,1.910600,1.364200,2.757700,0.006000,0
135,1.945200,1.385300,2.647000,0.006200,0
136,1.905500,1.624000,2.613700,0.005800,0
137,1.968700,1.400200,2.657000,0.006200,0
138,1.928500,1.417700,2.877900,0.006800,0
139,2.427200,1.582100,2.618800,0.006000,0
140,1.934800,1.370600,2.638500,0.005700,0
141,2.048000,1.503700,2.580800,0.005700,0
142,1.915500,1.366300,2.594700,0.006100,0
143,1.890100,1.411800,3.463800,0.007900,0
144,1.929700,1.385200,2.729100,0.006100,0
145,1.945200,1.354300,2.681600,0.005900,0
146,3.162600,1.456500,2.668600,0.006400,0
147,2.523100,1.457800,3.011100,0.005600,0
148,2.155000,1.214000,2.410700,0.005800,0
149,1.776100,1.278200,2.418900,0.005900,0
150,1.838600,1.330400,2.550800,0.006300,0
151,1.814300,1.275100,2.412400,0.006100,0
152,1.805900,1.281000,2.401500,0.005800,0
153,1.873000,1.340000,2.713200,0.006300,0
154,1.869800,1.310700,2.504700,0.005800,0
155,1.679200,1.464600,2.481400,0.006100,0
156,1.863700,1.262100,2.415300,0.005800,0
157,1.824600,1.265000,2.458400,0.006400,0
158,1.887600,1.276900,2.668800,0.006700,0
159,1.823600,1.255700,2.508600,0.005700,0
160,1.806400,1.562200,2.465300,0.005700,0
161,1.778600,1.487200,2.462900,0.005800,0
162,1.794900,1.297600,2.679800,0.005900,0
163,1.626000,1.307200,2.472700,0.005800,0
164,1.912100,1.238300,2.496600,0.005700,0
165,1.904100,1.291600,2.454000,0.005900,0
166,1.801800,1.242600,2.800700,0.006200,0
167,1.775500,1.318800,2.522100,0.005500,0
168,1.792200,1.332400,2.414500,0.005600,0
169,1.819100,1.345500,2.433700,0.005600,0
170,1.839100,1.255200,2.435300,0.006000,0
171,1.797900,1.243700,2.436000,0.005500,0
172,1.864800,1.218400,2.650200,0.005800,0
173,1.900700,1.245700,2.469800,0.005700,0
174,1.812100,1.208900,2.734400,0.005700,0
175,1.773900,1.300700,2.430100,0.005800,0
176,1.794000,1.203000,2.428400,0.005800,0
177,1.826300,1.443500,3.030700,0.010400,0
178,1.783200,1.228500,2.416200,0.005700,0
179,1.817600,1.268700,2.450800,0.006400,0
180,1.892700,1.251400,2.466900,0.005600,0
181,1.805400,1.289600,2.445900,0.005700,0
182,1.831700,1.242800,2.914100,0.006700,0
183,1.814900,1.251800,2.387300,0.006000,0
184,1.821500,1.275000,2.419700,0.005600,0
185,2.538800,1.546400,2.613400,0.005900,0
186,1.725600,1.362900,2.535200,0.005900,0
187,1.818900,1.411100,2.858800,0.006100,0
188,1.767300,1.291400,2.457200,0.005900,0
189,1.801300,1.326500,2.606200,0.005900,0
190,1.780900,1.304300,2.484400,0.005800,0
191,1.850500,1.264500,2.422900,0.005900,0
192,1.920300,1.243500,2.472800,0.006000,0
193,1.933600,1.299400,2.480800,0.005700,0
194,1.806500,1.235800,2.802800,0.006000,0
195,1.649800,1.296700,2.608900,0.005800,0
196,1.767300,1.248100,2.488600,0.011000,0
197,1.651900,1.290700,2.447600,0.005800,0
198,1.893300,1.269400,2.471900,0.005700,0
199,1.805700,1.295200,2.452700,0.005800,0
200,1.809800,1.245900,2.555700,0.006300,0
201,1.843700,1.274500,2.488200,0.005900,0
202,1.813100,1.278500,2.446300,0.005800,0
203,1.816100,1.261000,2.675300,0.005700,0
204,1.779900,1.484400,3.054800,0.005700,0
205,1.799600,1.247600,2.403800,0.006100,0
206,1.839500,1.269300,2.447600,0.005700,0
207,1.672000,1.271700,2.481300,0.005800,0
208,1.866300,1.277700,2.726300,0.005800,0
209,1.790700,1.310400,2.430400,0.005700,0
210,1.767400,1.275400,2.438000,0.005800,0
211,1.835400,1.450100,2.496700,0.010600,0
212,1.826200,1.286500,2.491800,0.005900,0
213,1.806100,1.281700,2.423300,0.006100,0
214,1.947200,1.484200,2.732900,0.006100,0
215,1.888600,1.406400,2.684500,0.006100,0
216,1.873900,1.426800,2.996400,0.006900,0
217,1.961700,1.478900,2.610600,0.005700,0
218,1.881500,1.384600,2.570800,0.006600,0
219,2.556100,1.500600,2.797200,0.006400,0
220,1.925700,1.413600,2.714100,0.006000,0
221,1.992300,1.633900,2.633900,0.006200,0
222,1.871400,1.351300,2.647700,0.006000,0
223,1.899400,1.379100,3.095200,0.007000,0
224,1.962700,1.440700,2.630600,0.006200,0
225,1.911800,1.371100,2.717000,0.006600,0
226,2.035700,1.466300,2.631600,0.005800,0
227,1.915500,1.424100,2.643200,0.006300,0
