iteration,temps_fourmis_ms,temps_sync_ms,temps_evap_ms,temps_update_ms,food_quantity
1,0.645000,11.818000,2.871000,0.009000,0
2,0.769000,4.961000,2.820000,0.009000,0
3,1.013000,5.368000,2.720000,0.009000,0
4,0.646000,5.282000,3.111000,0.007000,0
5,0.649000,4.784000,2.814000,0.009000,0
6,0.653000,4.908000,2.825000,0.009000,0
7,0.667000,4.861000,2.820000,0.008000,0
8,0.712000,5.194000,2.940000,0.007000,0
9,1.056000,5.676000,2.859000,0.006000,0
10,1.817000,5.235000,3.002000,0.007000,0
11,1.313000,4.547000,3.651000,0.007000,0
12,0.896000,4.486000,4.387000,0.007000,0
13,0.821000,4.934000,2.980000,0.008000,0
14,0.667000,5.267000,3.103000,0.008000,0
15,0.662000,4.528000,3.112000,0.009000,0
16,0.744000,4.416000,3.696000,0.009000,0
17,0.864000,4.586000,3.020000,0.013000,0
18,0.733000,4.808000,2.998000,0.008000,0
19,0.638000,5.099000,2.984000,0.009000,0
20,1.189000,5.765000,2.649000,0.014000,0
21,0.698000,4.756000,2.903000,0.008000,0
22,0.674000,4.694000,2.921000,0.008000,0
23,0.660000,4.828000,2.874000,0.009000,0
24,0.660000,4.873000,2.974000,0.009000,0
25,0.724000,5.093000,2.780000,0.009000,0
26,0.680000,4.919000,2.835000,0.009000,0
27,0.658000,4.841000,2.790000,0.009000,0
28,0.668000,5.048000,2.751000,0.008000,0
29,0.644000,5.103000,2.811000,0.013000,0
30,0.643000,5.418000,2.930000,0.008000,0
31,0.939000,5.106000,3.377000,0.006000,0
32,0.635000,5.149000,3.071000,0.008000,0
33,0.634000,5.071000,2.781000,0.010000,0
34,0.660000,4.850000,2.767000,0.008000,0
35,0.695000,5.351000,2.714000,0.009000,0
36,0.633000,4.922000,2.721000,0.009000,0
37,0.657000,5.220000,2.756000,0.009000,0
38,0.644000,5.201000,2.718000,0.009000,0
39,0.654000,5.045000,2.734000,0.008000,0
40,0.635000,5.131000,2.803000,0.008000,0
41,0.699000,4.926000,2.729000,0.009000,0
42,0.687000,4.741000,2.774000,0.007000,0
43,0.662000,4.858000,2.812000,0.008000,0
44,0.661000,4.964000,3.238000,0.027000,0
45,0.653000,4.974000,2.968000,0.008000,0
46,0.640000,4.814000,2.917000,0.006000,0
47,0.665000,5.130000,2.796000,0.013000,0
48,0.677000,4.899000,2.758000,0.008000,0
49,0.668000,4.784000,2.798000,0.008000,0
50,0.650000,4.484000,2.707000,0.007000,0
51,0.701000,4.716000,2.719000,0.008000,0
52,0.613000,4.672000,3.235000,0.008000,0
53,0.695000,4.618000,2.733000,0.007000,0
54,0.859000,4.898000,2.743000,0.008000,0
55,0.710000,5.275000,2.838000,0.007000,0
56,1.047000,4.995000,2.791000,0.008000,0
57,0.686000,4.643000,2.863000,0.008000,0
58,0.781000,5.061000,2.878000,0.008000,0
59,0.719000,6.411000,3.044000,0.009000,0
60,0.620000,5.873000,3.025000,0.036000,0
61,0.717000,5.170000,3.046000,0.009000,0
62,0.669000,5.494000,3.671000,0.009000,0
63,0.643000,4.857000,3.519000,0.009000,0
64,0.697000,5.733000,3.548000,0.015000,0
65,1.128000,5.244000,4.265000,0.009000,0
66,0.643000,5.586000,3.258000,0.009000,0
67,0.965000,5.887000,3.552000,0.007000,0
68,0.584000,5.858000,3.019000,0.007000,0
69,1.116000,6.225000,3.318000,0.007000,0
70,0.685000,5.723000,3.837000,0.007000,0
71,0.606000,7.032000,3.195000,0.009000,0
72,0.840000,5.438000,3.569000,0.012000,0
73,0.732000,5.814000,3.449000,0.010000,0
74,0.695000,5.741000,3.336000,0.024000,0
75,0.846000,5.750000,4.766000,0.008000,0
76,0.779000,5.379000,3.144000,0.007000,0
77,0.676000,6.844000,3.616000,0.010000,0
78,0.663000,5.017000,3.638000,0.007000,0
79,0.648000,5.584000,2.875000,0.013000,0
80,0.773000,5.005000,3.205000,0.013000,0
81,0.826000,4.960000,3.364000,0.007000,0
82,0.694000,6.019000,2.987000,0.008000,0
83,0.725000,6.441000,3.098000,0.006000,0
84,0.715000,4.743000,3.050000,0.009000,0
